instance_id,group,candidate_index,source,bitstring,assignment_energy,decoded_assignment,onehot_violation_count,capacity_violation_count,capacity_violation_count_before_repair,total_over_capacity,total_over_capacity_before_repair,onehot_feasible,capacity_feasible,assignment_feasible,repaired,repair_summary,repair_moved_customers,vehicle_loads,vehicle_loads_before_repair,vehicle_route_lengths,route_distance_before_2opt,route_distance_after_2opt,improvement_after_2opt,route_feasible,routes_before_2opt,routes_after_2opt,final_rank
seed2026_c4_v2_medium,C+Q,5,classical,,54.09541431515527,"{'0': [4, 1], '1': [2, 3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",2
seed2026_c4_v2_medium,C+Q,6,classical,,94.67908613573832,"{'0': [1, 4], '1': [2, 3]}",1,0,0,0,0,False,True,False,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",5
seed2026_c4_v2_medium,C+Q,7,classical,,255.0,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",8
seed2026_c4_v2_medium,C+Q,8,classical,,320.8505455353486,"{'0': [1, 4], '1': [2, 3]}",3,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",9
seed2026_c4_v2_medium,C+Q,9,classical,,245.39999999999986,"{'0': [1, 4], '1': [2, 3]}",2,0,1,0,3,False,True,False,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",7
seed2026_c4_v2_medium,C+Q,10,quantum,0010,54.09541431515527,"{'0': [2, 3], '1': [4, 1]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 7, '1': 3}","{'1': 20.267412862315776, '2': 32.585385245257925}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]",3
seed2026_c4_v2_medium,C+Q,11,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",16
seed2026_c4_v2_medium,C+Q,12,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",17
seed2026_c4_v2_medium,C+Q,13,quantum,1110,2.0958914224167984,"{'0': [3], '1': [1, 2, 4]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 4, '1': 6}","{'0': 4, '1': 6}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",10
seed2026_c4_v2_medium,C+Q,14,quantum,0010,54.09541431515527,"{'0': [2, 3], '1': [4, 1]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 7, '1': 3}","{'1': 20.267412862315776, '2': 32.585385245257925}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]",4
seed2026_c4_v2_medium,C+Q,15,quantum,1111,779.2130623708881,"{'0': [3], '1': [1, 2, 4]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 0, '1': 10}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",18
seed2026_c4_v2_medium,C+Q,16,quantum,1010,1.9603592225339526,"{'0': [1, 3], '1': [2, 4]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 6, '1': 4}","{'0': 6, '1': 4}","{'1': 23.92670754757829, '2': 14.444547736512959}",38.37125528409125,38.37125528409125,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 6, 'distance': 23.92670754757829, 'customer_ids': [3, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 4, 'distance': 14.444547736512959, 'customer_ids': [2, 4]}]",1
seed2026_c4_v2_medium,C+Q,17,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",19
seed2026_c4_v2_medium,C+Q,18,quantum,0011,54.434785617779426,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 3, '1': 7}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",12
seed2026_c4_v2_medium,C+Q,19,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",20
seed2026_c4_v2_medium,Q-only,0,quantum,0010,54.09541431515527,"{'0': [2, 3], '1': [4, 1]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 7, '1': 3}","{'1': 20.267412862315776, '2': 32.585385245257925}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]",4
seed2026_c4_v2_medium,Q-only,1,quantum,1000,442.97691620756905,"{'0': [1, 4], '1': [2, 3]}",0,0,1,0,3,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",7
seed2026_c4_v2_medium,Q-only,2,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",15
seed2026_c4_v2_medium,Q-only,3,quantum,1000,442.97691620756905,"{'0': [1, 4], '1': [2, 3]}",0,0,1,0,3,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",8
seed2026_c4_v2_medium,Q-only,4,quantum,1101,54.09541431515527,"{'0': [4, 1], '1': [2, 3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",5
seed2026_c4_v2_medium,Q-only,5,quantum,1001,-0.18208246942526785,"{'0': [1, 4], '1': [2, 3]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",1
seed2026_c4_v2_medium,Q-only,6,quantum,1000,442.97691620756905,"{'0': [1, 4], '1': [2, 3]}",0,0,1,0,3,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",9
seed2026_c4_v2_medium,Q-only,7,quantum,1000,442.97691620756905,"{'0': [1, 4], '1': [2, 3]}",0,0,1,0,3,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 9, '1': 1}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",10
seed2026_c4_v2_medium,Q-only,8,quantum,1101,54.09541431515527,"{'0': [4, 1], '1': [2, 3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 3, '1': 7}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",6
seed2026_c4_v2_medium,Q-only,9,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",16
seed2026_c4_v2_medium,Q-only,10,quantum,1110,2.0958914224167984,"{'0': [3], '1': [1, 2, 4]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 4, '1': 6}","{'0': 4, '1': 6}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",12
seed2026_c4_v2_medium,Q-only,11,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",17
seed2026_c4_v2_medium,Q-only,12,quantum,1100,54.434785617779426,"{'0': [3], '1': [1, 2, 4]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 4, '1': 6}","{'0': 7, '1': 3}","{'1': 19.062858137969, '2': 36.45410708872475}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]","[{'vehicle_id': 1, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}, {'vehicle_id': 2, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}]",13
seed2026_c4_v2_medium,Q-only,13,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",18
seed2026_c4_v2_medium,Q-only,14,quantum,1001,-0.18208246942526785,"{'0': [1, 4], '1': [2, 3]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",2
seed2026_c4_v2_medium,Q-only,15,quantum,0000,779.2130623708881,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,4,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 10, '1': 0}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",19
seed2026_c4_v2_medium,Q-only,16,quantum,0011,54.434785617779426,"{'0': [1, 2, 4], '1': [3]}",0,0,1,0,1,True,True,True,True,capacity_repaired,1,"{'0': 6, '1': 4}","{'0': 3, '1': 7}","{'1': 36.45410708872475, '2': 19.062858137969}",55.51696522669374,55.51696522669374,0.0,True,"[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]","[{'vehicle_id': 1, 'stops': 3, 'load': 6, 'distance': 36.45410708872475, 'customer_ids': [2, 4, 1]}, {'vehicle_id': 2, 'stops': 1, 'load': 4, 'distance': 19.062858137969, 'customer_ids': [3]}]",14
seed2026_c4_v2_medium,Q-only,17,quantum,1001,-0.18208246942526785,"{'0': [1, 4], '1': [2, 3]}",0,0,0,0,0,True,True,True,False,no_repair_needed,0,"{'0': 5, '1': 5}","{'0': 5, '1': 5}","{'1': 32.585385245257925, '2': 20.267412862315776}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}]",3
seed2026_c4_v2_medium,Q-only,18,quantum,0111,442.97691620756905,"{'0': [2, 3], '1': [1, 4]}",0,0,1,0,3,True,True,True,True,capacity_repaired,1,"{'0': 5, '1': 5}","{'0': 1, '1': 9}","{'1': 20.267412862315776, '2': 32.585385245257925}",52.852798107573705,52.852798107573705,0.0,True,"[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]","[{'vehicle_id': 1, 'stops': 2, 'load': 5, 'distance': 20.267412862315776, 'customer_ids': [2, 3]}, {'vehicle_id': 2, 'stops': 2, 'load': 5, 'distance': 32.585385245257925, 'customer_ids': [4, 1]}]",11
